"name","engine_source","deck_import_eligible","engine_status","semantic_class","mana_cost","type_line","color_identity","oracle_id","source_name","source_match","in_comparison_universe","source_commander_legality","source_games"
"Anchovy & Banana Pizza","oracle-0027","true","certified","artifact-template","{2}{B}{B}","Artifact — Food","B","5f4834c7-cd63-420b-8492-ef127ffd4f45","Anchovy & Banana Pizza","oracle-id","true","legal","paper,arena,mtgo"
"Ancient Brontodon","oracle-0001","true","certified","vanilla","{6}{G}{G}","Creature — Dinosaur","G","745be03c-69dc-4239-a5e7-38587b56eac0","Ancient Brontodon","oracle-id","true","legal","arena,paper,mtgo"
"Ancient Carp","oracle-0001","true","certified","vanilla","{4}{U}","Creature — Fish","U","84122d1e-7657-42fa-8724-c4a3a19729a6","Ancient Carp","oracle-id","true","legal","paper,mtgo"
"Ancient Crab","oracle-0001","true","certified","vanilla","{1}{U}{U}","Creature — Crab","U","6bab6d0a-cd06-45e3-b780-d5354ee2a032","Ancient Crab","oracle-id","true","legal","paper,mtgo"
"Ancient Craving","oracle-0067","true","certified","spell-template","{3}{B}","Sorcery","B","78725353-9274-420a-b722-add0f43c444e","Ancient Craving","oracle-id","true","legal","paper,mtgo"
"Ancient Den","legacy","true","certified-legacy","manual","","Artifact Land","W","02f16726-f2f6-4943-b71a-93f8e26251d3","Ancient Den","canonical-name","true","legal","paper,mtgo"
"Ancient Grudge","oracle-0014","true","certified","spell-template","{1}{R}","Instant","GR","306593b0-6ea8-476f-a3f2-e17876c1bab4","Ancient Grudge","oracle-id","true","legal","paper,mtgo"
"Ancient Hellkite","oracle-0067","true","certified","creature-template","{4}{R}{R}{R}","Creature — Dragon","R","de672a4b-07eb-4be8-a03f-23dfbb7ac0fa","Ancient Hellkite","oracle-id","true","legal","paper,mtgo"
"Ancient Hydra","oracle-0127","true","certified","creature-template","{4}{R}","Creature — Hydra","R","8e1d3722-9bd1-4ab7-b4a5-9265fca3aba9","Ancient Hydra","oracle-id","true","legal","paper,mtgo"
"Ancient Imperiosaur","oracle-0175","true","certified","creature-template","{5}{G}{G}","Creature — Dinosaur","G","3fe95820-cd7f-4f28-82bf-eb4350ea4179","Ancient Imperiosaur","oracle-id","true","legal","paper,arena,mtgo"
"Ancient Kavu","oracle-0149","true","certified","creature-template","{3}{R}","Creature — Kavu","R","598a7347-b772-4839-a02f-b930076c1354","Ancient Kavu","oracle-id","true","legal","paper,mtgo"
"Ancient Lumberknot","oracle-0169","true","certified","creature-template","{2}{B}{G}","Creature — Treefolk","BG","d714f1f6-539e-4a2a-b738-226854d7ff09","Ancient Lumberknot","oracle-id","true","legal","arena,paper,mtgo"
"Ancient Silverback","oracle-0014","true","certified","creature-template","{4}{G}{G}","Creature — Ape","G","5f12134c-d626-4a5e-8653-700681a491fc","Ancient Silverback","oracle-id","true","legal","paper,mtgo"
"Ancient Spider","oracle-0001","true","certified","keyword-only","{2}{G}{W}","Creature — Spider","GW","28537019-3061-4efc-8e87-9bb805bf520f","Ancient Spider","oracle-id","true","legal","paper,mtgo"
"Ancient Spring","oracle-0047","true","certified","land-mana-template","","Land","BUW","2160849a-184f-4a49-8931-fd021e16f7cb","Ancient Spring","oracle-id","true","legal","paper,mtgo"
"Ancient Stirrings","oracle-0127","true","certified","spell-template","{G}","Sorcery","G","82f18e7d-5c42-47c4-8e74-3fccc9b7b1f0","Ancient Stirrings","oracle-id","true","legal","paper,mtgo"
"Ancient Stone Idol","legacy","false","certified-legacy","manual","{10}","Artifact Creature — Golem","","5f981cca-5cd9-49e4-ab1a-bbbf6fc7e737","Ancient Stone Idol","canonical-name","true","legal","paper,mtgo"
"Ancient Tomb","oracle-0097","true","certified","land-mana-template","","Land","","23467047-6dba-4498-b783-1ebc4f74b8c2","Ancient Tomb","oracle-id","true","legal","paper,mtgo,arena"
"Ancient Ziggurat","legacy","true","certified-legacy","manual","","Land","","0baabe39-72ae-47bd-a095-cbf7eb8a6361","Ancient Ziggurat","canonical-name","true","legal","paper,mtgo"
"Andradite Leech","oracle-0127","true","certified","creature-template","{2}{B}","Creature — Leech","B","09bfc3b1-cc40-4cb9-87e4-86b0018caa75","Andradite Leech","oracle-id","true","legal","paper,mtgo"
"Andúril, Narsil Reforged","oracle-0176","true","certified","equipment-template","{2}","Legendary Artifact — Equipment","","b7d7c131-b628-4b35-b40b-1087589ebdd0","Andúril, Narsil Reforged","oracle-id","true","legal","paper,mtgo"
"Anep, Vizier of Hazoret","oracle-0176","true","certified","creature-template","{2}{R}","Legendary Creature — Jackal Warrior","R","0a73289f-0f0b-4316-be21-8edcbb08bd7c","Anep, Vizier of Hazoret","oracle-id","true","legal","paper,arena,mtgo"
"Angel of Condemnation","oracle-0127","true","certified","creature-template","{2}{W}{W}","Creature — Angel","W","2317a33f-665e-4cbc-bb5c-16b912ac2eef","Angel of Condemnation","oracle-id","true","legal","paper,mtgo"
"Angel of Deliverance","oracle-0047","true","certified","creature-template","{6}{W}{W}","Creature — Angel","W","f888f3ba-8316-4c10-bf97-873731f7d364","Angel of Deliverance","oracle-id","true","legal","paper,mtgo"
"Angel of Despair","oracle-0027","true","certified","creature-template","{3}{W}{W}{B}{B}","Creature — Angel","BW","02520741-d7f0-46e6-acbe-010b65fc24c0","Angel of Despair","oracle-id","true","legal","paper,mtgo"
"Angel of Finality","oracle-0047","true","certified","creature-template","{3}{W}","Creature — Angel","W","48d14b5c-711a-4f8a-9de5-55415cb7a79a","Angel of Finality","oracle-id","true","legal","paper,arena,mtgo"
"Angel of Flight Alabaster","oracle-0067","true","certified","creature-template","{4}{W}","Creature — Angel","W","9b6a74fb-c48f-4d85-b4b3-96eb80b9efc7","Angel of Flight Alabaster","oracle-id","true","legal","paper,mtgo"
"Angel of Glory's Rise","legacy","true","certified-legacy","manual","{5}{W}{W}","Creature — Angel","W","c6a606af-ea08-4cd9-bfd9-60d76e232e85","Angel of Glory's Rise","canonical-name","true","legal","paper,mtgo"
"Angel of Indemnity","oracle-0166","true","certified","creature-template","{5}{W}","Creature — Angel Warrior","W","4f57a320-b6b5-49de-af0a-f2e2649758a7","Angel of Indemnity","oracle-id","true","legal","paper,mtgo"
"Angel of Invention","legacy","true","certified-legacy","manual","{3}{W}{W}","Creature — Angel","W","28c7f2b6-ba67-4ccf-9e1b-99c89a9d1f72","Angel of Invention","canonical-name","true","legal","paper,mtgo"
"Angel of Mercy","oracle-0004","true","certified","creature-template","{4}{W}","Creature — Angel","W","a2daaf32-dbfe-4618-892e-0da24f63a44a","Angel of Mercy","oracle-id","true","legal","arena,paper"
"Angel of Renewal","oracle-0047","true","certified","creature-template","{5}{W}","Creature — Angel Ally","W","c604fda4-164c-4966-94f8-1e3a96d5ef9d","Angel of Renewal","oracle-id","true","legal","paper,mtgo"
"Angel of Retribution","oracle-0001","true","certified","keyword-only","{6}{W}","Creature — Angel","W","248dcf69-b99e-4a71-b9b3-7fd865f873ab","Angel of Retribution","oracle-id","true","legal","paper"
"Angel of Sanctions","oracle-0067","true","certified","creature-template","{3}{W}{W}","Creature — Angel","W","3c49e98d-d33b-47fa-8b07-b38b367de2c7","Angel of Sanctions","oracle-id","true","legal","paper,mtgo"
"Angel of Vitality","oracle-0127","true","certified","creature-template","{2}{W}","Creature — Angel","W","635fe908-6f58-4c9e-ac55-0775a7c6f278","Angel of Vitality","oracle-id","true","legal","paper,arena,mtgo"
"Angel of the Dawn","oracle-0027","true","certified","creature-template","{4}{W}","Creature — Angel","W","f63ea0e5-7769-4a22-bbb3-658281141d8c","Angel of the Dawn","oracle-id","true","legal","paper,mtgo"
"Angel of the Dire Hour","oracle-0067","true","certified","creature-template","{5}{W}{W}","Creature — Angel","W","8b1e6b7c-892d-4058-b183-9121cdd623f0","Angel of the Dire Hour","oracle-id","true","legal","arena,paper"
"Angel of the God-Pharaoh","oracle-0014","true","certified","creature-template","{4}{W}{W}","Creature — Angel","W","701912d5-9995-4ac7-9858-188f78b2b8a3","Angel of the God-Pharaoh","oracle-id","true","legal","paper,mtgo"
"Angel of the Ruins","legacy","true","certified-legacy","manual","{5}{W}{W}","Artifact Creature — Angel","W","14878a5f-7983-4133-a1a7-9d539531e092","Angel of the Ruins","canonical-name","true","legal","paper,mtgo"
"Angel's Feather","oracle-0067","true","certified","artifact-template","{2}","Artifact","","3d0d4ba4-d5aa-4d9f-89ab-46687637fecf","Angel's Feather","oracle-id","true","legal","paper"
"Angel's Mercy","oracle-0004","true","certified","spell-template","{2}{W}{W}","Instant","W","6b232bb7-d372-4174-a049-5f8d620810e6","Angel's Mercy","oracle-id","true","legal","paper,mtgo"
"Angel's Tomb","oracle-0155","true","certified","artifact-template","{3}","Artifact","","de3ed52e-7cc2-49ea-96d9-4254aac46168","Angel's Tomb","oracle-id","true","legal","paper,mtgo"
"Angelfire Crusader","oracle-0014","true","certified","creature-template","{3}{W}","Creature — Human Soldier Knight","RW","1a587b8d-fcb4-47ca-9689-610897117166","Angelfire Crusader","oracle-id","true","legal","paper,mtgo"
"Angelfire Ignition","oracle-0047","true","certified","spell-template","{1}{R}{W}","Sorcery","RW","29e1c6e3-d76e-4388-b4e9-f732fdec4338","Angelfire Ignition","oracle-id","true","legal","paper,mtgo"
"Angelheart Protector","oracle-0047","true","certified","creature-template","{2}{W}","Creature — Human Cleric","W","42aa599f-de2f-411a-8cf3-f5cfb40568b3","Angelheart Protector","oracle-id","true","legal","arena,paper,mtgo"
"Angelheart Vial","oracle-0149","true","certified","artifact-template","{5}","Artifact","","efbc9b9c-2b8c-4121-b232-350c80f12a2a","Angelheart Vial","oracle-id","true","legal","paper,mtgo"
"Angelic Accord","oracle-0097","true","certified","enchantment-template","{3}{W}","Enchantment","W","aa95501f-bb59-494a-bcae-b74ca10ad57e","Angelic Accord","oracle-id","true","legal","paper,mtgo"
"Angelic Ascension","oracle-0097","true","certified","spell-template","{1}{W}","Instant","W","5a898412-5b1e-4217-ac78-5b4099ed8e16","Angelic Ascension","oracle-id","true","legal","arena,paper,mtgo"
"Angelic Benediction","oracle-0127","true","certified","enchantment-template","{3}{W}","Enchantment","W","6b19377c-f178-49cb-95f8-fd3451acc7cf","Angelic Benediction","oracle-id","true","legal","paper"
"Angelic Captain","oracle-0149","true","certified","creature-template","{3}{R}{W}","Creature — Angel Ally","RW","ffc56a2e-f3bd-493b-9b7b-5f04fad69382","Angelic Captain","oracle-id","true","legal","paper,mtgo"
"Angelic Chorus","oracle-0047","true","certified","enchantment-template","{3}{W}{W}","Enchantment","W","e66b12ff-45da-46dc-9148-bd8ea9b7fde0","Angelic Chorus","oracle-id","true","legal","paper"
"Angelic Curator","oracle-0014","true","certified","creature-template","{1}{W}","Creature — Angel Spirit","W","cca29a9b-794f-4712-8e6c-36ce3da9cb8b","Angelic Curator","oracle-id","true","legal","paper,mtgo"
"Angelic Edict","oracle-0067","true","certified","spell-template","{4}{W}","Sorcery","W","36de8401-ee4e-413f-91ad-06924e39c857","Angelic Edict","oracle-id","true","legal","arena,paper"
"Angelic Exaltation","oracle-0127","true","certified","enchantment-template","{3}{W}","Enchantment","W","507d2f27-08a9-4938-b191-5734cda42ef2","Angelic Exaltation","oracle-id","true","legal","paper,mtgo"
"Angelic Field Marshal","oracle-0165","true","certified","creature-template","{2}{W}{W}","Creature — Angel","W","502575f4-7c56-44bc-a77f-ae28d66c8e1f","Angelic Field Marshal","oracle-id","true","legal","paper,mtgo"
"Angelic Gift","oracle-0014","true","certified","aura-template","{1}{W}","Enchantment — Aura","W","e5e04968-d9b7-4bd5-b826-be9502360cd3","Angelic Gift","oracle-id","true","legal","paper"
"Angelic Intervention","oracle-0097","true","certified","spell-template","{1}{W}","Instant","W","3d036f68-5f3a-4182-88f0-cdd685817dd0","Angelic Intervention","oracle-id","true","legal","paper,arena,mtgo"
"Angelic Observer","oracle-0097","true","certified","creature-template","{5}{W}","Creature — Angel Advisor","W","17df0fda-d726-4c9d-bf44-6f2e3a347117","Angelic Observer","oracle-id","true","legal","paper,mtgo,arena"
"Angelic Overseer","oracle-0047","true","certified","creature-template","{3}{W}{W}","Creature — Angel","W","ec22386d-42fd-40f9-b800-a043e80faabe","Angelic Overseer","oracle-id","true","legal","paper,mtgo"
"Angelic Page","oracle-0047","true","certified","creature-template","{1}{W}","Creature — Angel Spirit","W","f7f76abc-8656-4e97-9b7f-7f89ca3e6d93","Angelic Page","oracle-id","true","legal","arena,paper"
"Angelic Purge","oracle-0149","true","certified","spell-template","{2}{W}","Sorcery","W","b262a057-9ace-48b4-b418-1bb751ccb300","Angelic Purge","oracle-id","true","legal","paper,mtgo"
"Angelic Quartermaster","oracle-0097","true","certified","creature-template","{3}{W}{W}","Creature — Angel Soldier","W","14a555eb-9720-45b4-9eb5-77b739e1045c","Angelic Quartermaster","oracle-id","true","legal","arena,paper,mtgo"
"Angelic Sell-Sword","legacy","true","certified-legacy","manual","{4}{W}","Creature — Angel Mercenary","W","60c77b18-c111-4e16-ad19-2ef32582cd9e","Angelic Sell-Sword","canonical-name","true","legal","paper,mtgo"
"Angelic Shield","oracle-0027","true","certified","enchantment-template","{W}{U}","Enchantment","UW","05b020fd-21be-495d-ae45-7de3b1224e6d","Angelic Shield","oracle-id","true","legal","paper,mtgo"
"Angelic Sleuth","oracle-0154","true","certified","creature-template","{2}{W}","Creature — Angel Advisor","W","2579e9e0-b00f-4a1b-8fce-15d06bb7fe5a","Angelic Sleuth","oracle-id","true","legal","paper,mtgo"
"Angelic Wall","oracle-0001","true","certified","keyword-only","{1}{W}","Creature — Wall","W","4502b24f-604b-4e36-9168-31c1a1ab4dab","Angelic Wall","oracle-id","true","legal","paper,mtgo"
"Angelsong","oracle-0014","true","certified","spell-template","{1}{W}","Instant","W","fe7bad80-f853-4af9-82e2-5ccf8038d93b","Angelsong","oracle-id","true","legal","paper"
"Anger","oracle-0163","true","certified","creature-template","{3}{R}","Creature — Incarnation","R","eaabd151-2160-4bff-82c0-3fa88659be98","Anger","oracle-id","true","legal","paper,mtgo"
"Anger of the Gods","oracle-0097","true","certified","spell-template","{1}{R}{R}","Sorcery","R","3a7fe095-8278-4b1d-bec4-19b35bdcdd1b","Anger of the Gods","oracle-id","true","legal","paper,mtgo"
"Angler Drake","oracle-0027","true","certified","creature-template","{4}{U}{U}","Creature — Drake","U","620d7146-b5b3-487c-a24b-f36b10f48df4","Angler Drake","oracle-id","true","legal","paper,mtgo"
"Angler Turtle","oracle-0127","true","certified","creature-template","{5}{U}{U}","Creature — Turtle","U","a09da13e-f8a3-410e-941a-9912d2cfe7de","Angler Turtle","oracle-id","true","legal","paper"
"Angrath's Ambusher","oracle-0149","true","certified","creature-template","{2}{B}","Creature — Orc Pirate","B","85791f11-44ab-4405-b284-1d91c7e0afbb","Angrath's Ambusher","oracle-id","true","legal","arena,paper,mtgo"
"Angrath's Fury","oracle-0154","true","certified","spell-template","{3}{B}{R}","Sorcery","BR","61f3a549-77b4-4403-afa2-a0f02603f2e6","Angrath's Fury","oracle-id","true","legal","arena,paper,mtgo"
"Angrath's Marauders","legacy","true","certified-legacy","manual","{5}{R}{R}","Creature — Human Pirate","R","2d4976d4-649c-4d42-ac5a-ada4b46a480c","Angrath's Marauders","canonical-name","true","legal","paper,mtgo"
"Angrath's Rampage","oracle-0067","true","certified","spell-template","{B}{R}","Sorcery","BR","850a8369-94ab-43b6-8cfe-286e3623b19d","Angrath's Rampage","oracle-id","true","legal","arena,paper,mtgo"
"Angrath, Captain of Chaos","oracle-0097","true","certified","permanent-template","{2}{B/R}{B/R}","Legendary Planeswalker — Angrath","BR","de08f5d4-8868-4d0f-8c0e-d0d3a2105581","Angrath, Captain of Chaos","oracle-id","true","legal","arena,paper,mtgo"
"Angry Rabble","oracle-0097","true","certified","creature-template","{1}{R}","Creature — Human Citizen","R","cf6dc79e-840c-4d47-8f94-c8623528acd2","Angry Rabble","oracle-id","true","legal","paper,mtgo,arena"
"Anguished Unmaking","legacy","true","certified-legacy","manual","{1}{W}{B}","Instant","WB","ad09b3c3-c8e7-481c-8c45-e7f234935117","Anguished Unmaking","canonical-name","true","legal","paper,mtgo"
"Anim Pakal, Thousandth Moon","oracle-0149","true","certified","creature-template","{1}{R}{W}","Legendary Creature — Human Soldier","RW","05551d91-50c6-46d1-86a4-cd3d177d0923","Anim Pakal, Thousandth Moon","oracle-id","true","legal","paper,mtgo,arena"
"Animal Boneyard","oracle-0097","true","certified","aura-template","{2}{W}","Enchantment — Aura","W","6fa9debf-c60e-432d-86c8-aed16556c532","Animal Boneyard","oracle-id","true","legal","paper,mtgo"
"Animal Sanctuary","oracle-0097","true","certified","land-mana-template","","Land","","f3c40943-1d7c-4ea2-b34f-8df8b6775701","Animal Sanctuary","oracle-id","true","legal","arena,paper,mtgo"
"Animar, Soul of Elements","oracle-0127","true","certified","creature-template","{G}{U}{R}","Legendary Creature — Elemental","GRU","725880b2-1675-414f-b61b-cf6533797dbf","Animar, Soul of Elements","oracle-id","true","legal","paper,mtgo"
"Animate Land","oracle-0155","true","certified","spell-template","{G}","Instant","G","b2bd58ea-b2c6-47f1-b082-7969f093bbc6","Animate Land","oracle-id","true","legal","paper,mtgo"
"Animating Faerie // Bring to Life","oracle-0097","true","certified","creature-template","{2}{U}","Creature — Faerie // Sorcery — Adventure","U","db6fbdc9-1c45-416f-a08e-2082f65adb65","Animating Faerie // Bring to Life","oracle-id","true","legal","arena,paper,mtgo"
"Animist's Awakening","legacy","true","certified-legacy","manual","{X}{G}","Sorcery","G","6f1bfe50-b61a-4fdd-963c-40d59117bdf4","Animist's Awakening","canonical-name","true","legal","paper,mtgo"
"Animist's Might","oracle-0097","true","certified","spell-template","{2}{G}","Sorcery","G","4940783f-2534-41c1-b614-5dabb0dff405","Animist's Might","oracle-id","true","legal","paper,arena,mtgo"
"Anje's Ravager","oracle-0097","true","certified","creature-template","{2}{R}","Creature — Vampire Berserker","R","8f1016c7-0551-4813-987d-36abf3b2ffeb","Anje's Ravager","oracle-id","true","legal","paper,mtgo"
"Ankle Biter","oracle-0001","true","certified","keyword-only","{G}","Creature — Snake","G","ee8f16ba-cbf0-4286-b26c-d78dd35bee17","Ankle Biter","oracle-id","true","legal","paper,mtgo,arena"
"Ankle Shanker","oracle-0067","true","certified","creature-template","{2}{R}{W}{B}","Creature — Goblin Berserker","BRW","22052572-0b7d-4dd8-84a8-e2658f77b85e","Ankle Shanker","oracle-id","true","legal","paper"
"Annex","oracle-0127","true","certified","aura-template","{2}{U}{U}","Enchantment — Aura","U","5f1f49dd-b7ce-494a-9b4b-ac702d3664c5","Annex","oracle-id","true","legal","paper,mtgo"
"Annex Sentry","oracle-0067","true","certified","creature-template","{2}{W}","Artifact Creature — Phyrexian Cleric","W","be31fa46-d5ac-4c85-9c19-3f0e2b1f223b","Annex Sentry","oracle-id","true","legal","paper,mtgo,arena"
"Annie Flash, the Veteran","oracle-0097","true","certified","creature-template","{3}{R}{G}{W}","Legendary Creature — Human Rogue","GRW","858067f9-eb1f-4569-9831-30441cba5f90","Annie Flash, the Veteran","oracle-id","true","legal","paper,mtgo,arena"
"Annihilate","oracle-0127","true","certified","spell-template","{3}{B}{B}","Instant","B","28f55673-7aa0-497e-8434-aa70df1b5e04","Annihilate","oracle-id","true","legal","paper,mtgo"
"Annihilating Fire","oracle-0097","true","certified","spell-template","{1}{R}{R}","Instant","R","762f891e-5d88-42b0-8abf-c69f3421011b","Annihilating Fire","oracle-id","true","legal","paper,mtgo"
"Annoyed Altisaur","oracle-0014","true","certified","creature-template","{5}{G}{G}","Creature — Dinosaur","G","a8135179-51ef-454e-98ff-69137440339f","Annoyed Altisaur","oracle-id","true","legal","paper,mtgo,arena"
"Annul","oracle-0027","true","certified","spell-v4-template","{U}","Instant","U","d08e9784-75f7-4164-ac48-d06160f8c56b","Annul","oracle-id","true","legal","paper,arena,mtgo"
"Anodet Lurker","oracle-0014","true","certified","creature-template","{5}","Artifact Creature — Construct","","5c2dbe90-5784-4bc4-a715-76a61c1ecfbc","Anodet Lurker","oracle-id","true","legal","paper,mtgo"
"Anointed Chorister","oracle-0014","true","certified","creature-template","{W}","Creature — Human Cleric","W","61859443-e298-41c7-a179-6e6554de91c9","Anointed Chorister","oracle-id","true","legal","arena,paper,mtgo"
"Anointed Deacon","oracle-0097","true","certified","creature-template","{4}{B}","Creature — Vampire Cleric","B","5212f0a8-7341-4960-835b-2f4600ca1b2d","Anointed Deacon","oracle-id","true","legal","arena,paper,mtgo"
"Anointed Procession","oracle-0127","true","certified","enchantment-template","{3}{W}","Enchantment","W","7246d45b-2185-4cdd-981b-5419b7d52bce","Anointed Procession","oracle-id","true","legal","paper,mtgo"
"Anointer Priest","oracle-0067","true","certified","creature-template","{1}{W}","Creature — Human Cleric","W","4e0b9273-6614-41a8-9738-959349c0717b","Anointer Priest","oracle-id","true","legal","paper,mtgo"
"Anointer of Champions","oracle-0047","true","certified","creature-template","{W}","Creature — Human Cleric","W","f74ef5b0-9222-43d0-a919-aaf28dc21b59","Anointer of Champions","oracle-id","true","legal","paper"
"Anointer of Valor","oracle-0097","true","certified","creature-template","{5}{W}","Creature — Angel","W","e4f880f5-0639-4acb-a099-e48f5707f0db","Anointer of Valor","oracle-id","true","legal","paper,mtgo"
"Another Chance","oracle-0097","true","certified","spell-template","{2}{B}","Instant","B","df9cdc11-cb92-46ce-a83d-eb26e3cd004a","Another Chance","oracle-id","true","legal","paper,arena,mtgo"
"Anowon, the Ruin Sage","oracle-0067","true","certified","creature-template","{3}{B}{B}","Legendary Creature — Vampire Shaman","B","0c201f79-9eca-48c8-88ba-a20fa6918a07","Anowon, the Ruin Sage","oracle-id","true","legal","paper,mtgo"
"Ant Queen","oracle-0027","true","certified","creature-template","{3}{G}{G}","Creature — Insect","G","50de88d4-0beb-45e5-9664-d4f0e280e652","Ant Queen","oracle-id","true","legal","paper,mtgo"
"Ant-Man's Air Force","oracle-0047","true","certified","creature-template","{1}{U}","Creature — Insect","U","5d7eea87-b60f-4ab9-b485-30aadda0cd79","Ant-Man's Air Force","oracle-id","true","legal","paper,arena,mtgo"
"Ant-Man, Elusive Avenger","legacy","true","certified-legacy","manual","{1}{U}{R}","Legendary Creature — Human Rogue Hero","UR","f334087a-deda-4e9e-ab58-68f7e226d7ce","Ant-Man, Elusive Avenger","canonical-name","true","legal","paper,mtgo"
"Ant-Man, Reformed Rogue","oracle-0097","true","certified","creature-template","{2}{G/U}","Legendary Creature — Human Rogue Hero","GU","c51c429d-d8d7-40d6-9760-72c26acaed42","Ant-Man, Reformed Rogue","oracle-id","true","legal","paper,mtgo,arena"
"Ant-Man, Scott Lang","oracle-0067","true","certified","creature-template","{1}{W}","Legendary Creature — Human Hero","W","1e4cf4a4-50a4-4856-bf7e-20899e8affd1","Ant-Man, Scott Lang","oracle-id","true","legal","paper,mtgo,arena"
"Antagonize","oracle-0004","true","certified","spell-template","{1}{R}","Instant","R","f4e860f1-e637-4640-b257-57c2e42793ce","Antagonize","oracle-id","true","legal","paper,mtgo,arena"
"Anthem of Champions","oracle-0014","true","certified","enchantment-template","{G}{W}","Enchantment","GW","f1d8e9a6-1903-4be5-8609-1009a463f393","Anthem of Champions","oracle-id","true","legal","paper,arena,mtgo"
"Anthem of Rakdos","oracle-0164","true","certified","enchantment-template","{2}{B}{R}{R}","Enchantment","BR","aba0f637-2d8d-43df-9002-08541ab42944","Anthem of Rakdos","oracle-id","true","legal","paper,mtgo"
"Anthroplasm","oracle-0172","true","certified","creature-template","{2}{U}{U}","Creature — Shapeshifter","U","f7536d94-4062-4ccc-a086-1c47954b24c7","Anthroplasm","oracle-id","true","legal","paper,mtgo"
"Anti-Venom, Horrifying Healer","oracle-0127","true","certified","creature-template","{W}{W}{W}{W}{W}","Legendary Creature — Symbiote Hero","W","3c7bafe9-80cd-48d0-bcae-e7910c9fb83b","Anti-Venom, Horrifying Healer","oracle-id","true","legal","paper,mtgo,arena"
"Anticipate","oracle-0067","true","certified","spell-template","{1}{U}","Instant","U","a97da5a9-17fc-4367-81e1-17ff81601a63","Anticipate","oracle-id","true","legal","arena,paper,mtgo"
"Antiquities on the Loose","oracle-0127","true","certified","spell-template","{1}{W}{W}","Sorcery","W","9c45682f-48b5-4e58-9277-ff4211f389ae","Antiquities on the Loose","oracle-id","true","legal","paper,mtgo,arena"
"Anurid Barkripper","oracle-0047","true","certified","creature-template","{1}{G}{G}","Creature — Frog Beast","G","2cdd85c8-fa60-44ca-bc96-d38f029d2184","Anurid Barkripper","oracle-id","true","legal","paper,mtgo"
"Anurid Brushhopper","oracle-0097","true","certified","creature-template","{1}{G}{W}","Creature — Frog Beast","GW","bdecf59c-f8bd-4003-9058-685b70c08837","Anurid Brushhopper","oracle-id","true","legal","paper,mtgo"
"Anurid Murkdiver","oracle-0004","true","certified","keyword-only","{4}{B}{B}","Creature — Zombie Frog Beast","B","e7dc3d8b-2c79-463d-b862-9f01ccea05fd","Anurid Murkdiver","oracle-id","true","legal","paper,mtgo"
"Anurid Swarmsnapper","oracle-0159","true","certified","creature-template","{2}{G}","Creature — Frog Beast","G","fd275ea7-9ccc-4148-9b33-392a612486dd","Anurid Swarmsnapper","oracle-id","true","legal","paper,mtgo"
"Anvilwrought Raptor","oracle-0001","true","certified","keyword-only","{4}","Artifact Creature — Bird","","d87ebd8c-ad2c-45c9-8c97-f046aeda861c","Anvilwrought Raptor","oracle-id","true","legal","arena,paper,mtgo"
"Anya, Merciless Angel","legacy","false","certified-legacy","manual","{3}{R}{W}","Legendary Creature — Angel","WR","0665daf5-e12a-4b59-81fc-63fec2807571","Anya, Merciless Angel","canonical-name","true","legal","paper,mtgo"
"Apes of Rath","oracle-0127","true","certified","creature-template","{2}{G}{G}","Creature — Ape","G","b52f5850-f1aa-412a-bae9-2ce76c287188","Apes of Rath","oracle-id","true","legal","paper,mtgo"
"Apex Altisaur","oracle-0067","true","certified","creature-template","{7}{G}{G}","Creature — Dinosaur","G","fc467fe5-85ab-4c95-8d21-49096778b107","Apex Altisaur","oracle-id","true","legal","paper,mtgo"
"Apex Hawks","oracle-0067","true","certified","creature-template","{2}{W}","Creature — Bird","W","c025d558-aae8-4146-923b-a98035025a42","Apex Hawks","oracle-id","true","legal","paper"
"Aphemia, the Cacophony","oracle-0127","true","certified","creature-template","{1}{B}","Legendary Enchantment Creature — Harpy","B","820dab0f-3b6b-437c-ba4b-2311437709c3","Aphemia, the Cacophony","oracle-id","true","legal","arena,paper,mtgo"
"Aphetto Alchemist","oracle-0047","true","certified","creature-template","{1}{U}","Creature — Human Wizard","U","867aa0b7-b814-4d33-a677-f6368c8e93c0","Aphetto Alchemist","oracle-id","true","legal","paper,mtgo"
"Aphetto Exterminator","oracle-0027","true","certified","creature-template","{2}{B}","Creature — Human Wizard","B","a3bf5d18-77d5-4881-916c-cc125e621b6e","Aphetto Exterminator","oracle-id","true","legal","paper,mtgo"
"Aphetto Grifter","oracle-0097","true","certified","creature-template","{2}{U}","Creature — Human Wizard","U","d9d7b7a9-5107-4720-9f92-b49e372372b8","Aphetto Grifter","oracle-id","true","legal","paper,mtgo"
"Aphetto Runecaster","oracle-0127","true","certified","creature-template","{3}{U}","Creature — Human Wizard","U","949eb86a-94b2-4c9f-8040-f4ad8e1a7e33","Aphetto Runecaster","oracle-id","true","legal","paper,mtgo"
"Aphetto Vulture","oracle-0068","true","certified","creature-template","{4}{B}{B}","Creature — Zombie Bird","B","aeba5c63-aa80-4f31-90fb-f404c9a3057d","Aphetto Vulture","oracle-id","true","legal","paper,mtgo"
"Aphotic Wisps","oracle-0169","true","certified","spell-template","{B}","Instant","B","db951ec2-d751-479d-af1f-885d3cf50027","Aphotic Wisps","oracle-id","true","legal","paper,mtgo"
