"name","oracle_id","mana_cost","type_line","color_identity","layout","status","reason","semantic_class"
"Ardyn, the Usurper","9ae13026-960a-4d31-b775-d47209a1e313","{5}{B}{B}{B}","Legendary Creature — Elder Human Noble","B","normal","deferred","oracle-needs-explicit-semantics",""
"Arena","12326d23-1fb5-4084-a23a-d6e2c90ea36c","","Land","","normal","deferred","land-needs-explicit-semantics",""
"Arena Rector","6a23963c-21dc-4d21-8d28-5abad7f859a1","{3}{W}","Creature — Human Cleric","W","normal","deferred","oracle-needs-explicit-semantics",""
"Arena of Glory","63dfe794-5f56-41ec-9883-5523b41cc3e0","","Land","R","normal","deferred","land-needs-explicit-semantics",""
"Ares, God of War","8a09d4a2-4796-4a15-ab75-a3a0b717f62d","{1}{B}{R}","Legendary Creature — God Warrior Villain","BR","normal","deferred","oracle-needs-explicit-semantics",""
"Argent Dais","3269f589-00fc-4f0b-8693-656f2ab0670d","{1}{W}","Artifact","W","normal","deferred","noncreature-needs-explicit-semantics",""
"Argentum Masticore","3ceee5c2-321c-49ec-ba49-1fac7f6ee2cc","{5}","Artifact Creature — Phyrexian Masticore","","normal","deferred","oracle-needs-explicit-semantics",""
"Argoth, Sanctum of Nature","62648946-1708-48f4-ba40-c057563ab11b","","Land","G","meld","deferred","complex-layout",""
"Argothian Wurm","f8aa1893-60e5-439e-9316-872a9f6b6c94","{3}{G}","Creature — Wurm","G","normal","deferred","oracle-needs-explicit-semantics",""
"Arguel's Blood Fast // Temple of Aclazotz","be2a4bc4-8af6-48c5-9421-32d26272e71a","","Legendary Enchantment // Legendary Land","B","transform","deferred","double-faced-card-needs-complete-front-semantics",""
"Aria of Flame","406fad02-e1a6-4c24-b46d-976c548e1c78","{2}{R}","Enchantment","R","normal","deferred","unbound-target-damage-source",""
"Arid Archway","3be3d7e6-7860-438a-b8c8-ef154c18c163","","Land — Desert","","normal","deferred","land-needs-explicit-semantics",""
"Arixmethes, Slumbering Isle","caeb39ee-f0bb-4305-9e8b-b30ba0a74c78","{2}{G}{U}","Legendary Creature — Kraken","GU","normal","deferred","oracle-needs-explicit-semantics",""
"Arjun, the Shifting Flame","ea904852-6322-4a24-9145-190acfce54ec","{4}{U}{R}","Legendary Creature — Sphinx Wizard","RU","normal","deferred","oracle-needs-explicit-semantics",""
"Ark of Hunger","2c654772-c786-4966-a46e-9556bbf31d7c","{2}{R}{W}","Artifact","RW","normal","deferred","noncreature-needs-explicit-semantics",""
"Arlinn Kord // Arlinn, Embraced by the Moon","6bb7d0df-7a9f-4e17-8c31-7628c4b12356","","Legendary Planeswalker — Arlinn // Legendary Planeswalker — Arlinn","GR","transform","deferred","double-faced-card-needs-complete-back-semantics",""
"Arlinn, Voice of the Pack","a15b83df-91b7-49f0-9bec-5776a3dac8bd","{4}{G}{G}","Legendary Planeswalker — Arlinn","G","normal","deferred","noncreature-needs-explicit-semantics",""
"Arlinn, the Pack's Hope // Arlinn, the Moon's Fury","f227ce07-7e96-4a36-ab7c-9be6e777d649","","Legendary Planeswalker — Arlinn // Legendary Planeswalker — Arlinn","GR","transform","deferred","double-faced-card-needs-face-transition-semantics",""
"Arm the Cathars","c6a1a91f-46b9-4e41-a3d3-3423b02c42a5","{1}{W}{W}","Sorcery","W","normal","deferred","spell-needs-explicit-semantics",""
"Armament Corps","3b93427c-5b40-4119-96ae-7dce3ca2bbb9","{2}{W}{B}{G}","Creature — Human Soldier","BGW","normal","deferred","oracle-needs-explicit-semantics",""
"Armament Dragon","23c75386-8011-4ee4-97e2-eaafeb20b788","{3}{W}{B}{G}","Creature — Dragon","BGW","normal","deferred","oracle-needs-explicit-semantics",""
"Armament of Nyx","1a4d16eb-343e-41ca-9363-90dc79da4769","{2}{W}","Enchantment — Aura","W","normal","deferred","noncreature-needs-explicit-semantics",""
"Armed // Dangerous","a0593a5b-6f76-4eb3-a1b1-9794d2d36c92","{1}{R} // {3}{G}","Sorcery // Sorcery","GR","split","deferred","split-needs-complete-face-semantics",""
"Armed and Armored","3d5b6151-d985-423b-8ade-f00958bbd3f6","{1}{W}","Instant","W","normal","deferred","spell-needs-explicit-semantics",""
"Armguard Familiar","a7955f10-f502-4893-88ad-f36e7ff0af4f","{1}{U}","Artifact Creature — Equipment Beast","U","normal","deferred","oracle-needs-explicit-semantics",""
"Armix, Filigree Thrasher","a1464164-fbda-43b5-988e-6e1da9bd9eef","{2}{B}","Legendary Artifact Creature — Golem","B","normal","deferred","oracle-needs-explicit-semantics",""
"Armor Wars","1ad83cac-2c85-477b-ab00-1369f9683db5","{2}{U}{R}","Enchantment — Saga","RU","saga","deferred","saga-chapter-needs-complete-semantics",""
"Armored Kincaller","6aad6906-96ec-4994-bfc3-9a76f893bc8c","{2}{G}","Creature — Dinosaur","G","normal","deferred","oracle-needs-explicit-semantics",""
"Armored Skyhunter","b4dbbf56-d7df-4183-bb48-cfc6b4d0468f","{3}{W}","Creature — Cat Knight","W","normal","deferred","oracle-needs-explicit-semantics",""
"Armored Transport","0caae56e-5995-4f1b-b735-80580a372707","{3}","Artifact Creature — Construct","","normal","deferred","oracle-needs-explicit-semantics",""
"Army of the Damned","75d667ec-86f4-4850-a3b6-e7a9fc7053b0","{5}{B}{B}{B}","Sorcery","B","normal","deferred","spell-needs-explicit-semantics",""
"Arna Kennerüd, Skycaptain","436e7548-f8d5-43af-947d-b382da0d19b3","{2}{W}{U}{B}","Legendary Creature — Human Knight","BUW","normal","deferred","oracle-needs-explicit-semantics",""
"Arni Brokenbrow","3dce6c6c-599f-4e35-ae15-728c5e78dee1","{2}{R}","Legendary Creature — Human Berserker","R","normal","deferred","oracle-needs-explicit-semantics",""
"Arni Metalbrow","d799e58a-0032-4df8-a77f-0d824ec15214","{2}{R}","Legendary Creature — Human Berserker","R","normal","deferred","oracle-needs-explicit-semantics",""
"Arnyn, Deathbloom Botanist","3debd5c7-da3c-4130-8ed9-e156e10034b6","{2}{B}","Legendary Creature — Vampire Druid","B","normal","deferred","oracle-needs-explicit-semantics",""
"Arrow Storm","a0ce2f5a-9c0b-4801-9105-72f84d8a4a1f","{3}{R}{R}","Sorcery","R","normal","deferred","spell-needs-explicit-semantics",""
"Arterial Alchemy","dfc982a2-9ae8-4206-a2d7-4dcfcde02451","{2}{R}","Enchantment","R","normal","deferred","noncreature-needs-explicit-semantics",""
"Artifact Mutation","e77e8768-3ea8-44f9-aba6-1e023e006946","{R}{G}","Instant","GR","normal","deferred","spell-needs-explicit-semantics",""
"Artifact Possession","5c641df8-97d7-484b-8d0e-790279fd6177","{2}{B}","Enchantment — Aura","B","normal","deferred","noncreature-needs-explicit-semantics",""
"Artifact Ward","9bd3a4bb-cc12-4e5f-a33f-77ab0c7788db","{W}","Enchantment — Aura","W","normal","deferred","noncreature-needs-explicit-semantics",""
"Artificer Class","6dccf583-1045-4058-86cc-ebbcc8de080e","{1}{U}","Enchantment — Class","U","class","deferred","complex-layout",""
"Artificer's Hex","d14d9f44-9cff-4a11-be86-0cea5fe9b551","{B}","Enchantment — Aura","B","normal","deferred","noncreature-needs-explicit-semantics",""
"Artificial Evolution","c5ab6dc9-34af-434f-ae8e-b2389ee6c5ae","{U}","Instant","U","normal","deferred","spell-needs-explicit-semantics",""
"Artist's Talent","ea734863-5793-49d6-b10e-109432aec0a3","{1}{R}","Enchantment — Class","R","class","deferred","complex-layout",""
"Artistic Process","0c061a1b-206a-4fcc-92e5-30c8ed9d65c1","{3}{R}{R}","Sorcery","R","normal","deferred","spell-needs-explicit-semantics",""
"Arvinox, the Mind Flail","9abecd23-a2d9-43c7-8d01-f8afdc53026e","{4}{B}{B}{B}","Legendary Enchantment Creature — Horror","B","normal","deferred","oracle-needs-explicit-semantics",""
"Arwen, Mortal Queen","9519a4ea-c4a0-4127-b06a-aac9ffaf7a32","{1}{G}{W}","Legendary Creature — Elf Noble","GW","normal","deferred","oracle-needs-explicit-semantics",""
"Aryel, Knight of Windgrace","9956f9b7-0140-484c-b606-3685690b84cc","{2}{W}{B}","Legendary Creature — Human Knight","BW","normal","deferred","oracle-needs-explicit-semantics",""
"As Foretold","e4b3e0af-5caa-47c1-b5be-c56a875cbb15","{2}{U}","Enchantment","U","normal","deferred","noncreature-needs-explicit-semantics",""
"Ascendant Spirit","784c039d-a9b2-4b22-a937-c8f7b475e96a","{U}","Snow Creature — Spirit","U","normal","deferred","oracle-needs-explicit-semantics",""
"Ascent of the Worthy","d748bad4-dd4c-4553-9fcc-e462260f6ff3","{1}{W}{B}","Enchantment — Saga","BW","saga","deferred","saga-chapter-needs-complete-semantics",""
"Asgardian Inspiration","1be4bb28-6ad7-4df9-98b7-fa32061e7a95","{R}","Sorcery","R","normal","deferred","spell-needs-explicit-semantics",""
"Ash Zealot","ab9f03b4-eb67-4709-904d-abf4d491f0ee","{R}{R}","Creature — Human Warrior","R","normal","deferred","oracle-needs-explicit-semantics",""
"Ashad, the Lone Cyberman","f3902dfd-6d09-425f-8446-a68cae2eea50","{1}{U}{B}{R}","Legendary Artifact Creature — Cyberman","BRU","normal","deferred","oracle-needs-explicit-semantics",""
"Ashaya, Soul of the Wild","162572f2-1757-42e9-bd97-e6bd9a762c0e","{3}{G}{G}","Legendary Creature — Elemental","G","normal","deferred","oracle-needs-explicit-semantics",""
"Ashcloud Phoenix","fb2d7c3d-b68f-410e-9a73-cfcbfe702ade","{2}{R}{R}","Creature — Phoenix","R","normal","deferred","oracle-needs-explicit-semantics",""
"Ashcoat of the Shadow Swarm","9cc69ea5-42a2-4306-ac6d-cff5adb20bcb","{3}{B}","Legendary Creature — Rat Warlock","B","normal","deferred","oracle-needs-explicit-semantics",""
"Ashen-Skin Zubera","af9dc302-0345-402f-8e6b-e9706da14bca","{1}{B}","Creature — Zubera Spirit","B","normal","deferred","oracle-needs-explicit-semantics",""
"Ashenmoor Liege","f779754a-3de9-4621-b190-cf32949da0e8","{1}{B/R}{B/R}{B/R}","Creature — Elemental Knight","BR","normal","deferred","unbound-event-reference",""
"Ashes of the Abhorrent","a75d5b54-5cc9-49c4-8e8c-3bef22d4c01c","{1}{W}","Enchantment","W","normal","deferred","noncreature-needs-explicit-semantics",""
"Ashes of the Fallen","6437867b-a658-4a71-a8a5-0c5a782d1f84","{2}","Artifact","","normal","deferred","noncreature-needs-explicit-semantics",""
"Ashiok's Erasure","13cf3ef7-d88e-4cc7-a4d8-cedc671f356a","{2}{U}{U}","Enchantment","U","normal","deferred","noncreature-needs-explicit-semantics",""
"Ashiok, Dream Render","93723b12-db34-4047-885e-8606415b1553","{1}{U/B}{U/B}","Legendary Planeswalker — Ashiok","BU","normal","deferred","noncreature-needs-explicit-semantics",""
"Ashiok, Nightmare Muse","ebc9ff52-c914-4c48-9d35-0e4cd07741cb","{3}{U}{B}","Legendary Planeswalker — Ashiok","BU","normal","deferred","noncreature-needs-explicit-semantics",""
"Ashiok, Nightmare Weaver","b6f52260-9ad5-4024-acf9-d77f3c08c872","{1}{U}{B}","Legendary Planeswalker — Ashiok","BU","normal","deferred","noncreature-needs-explicit-semantics",""
"Ashiok, Sculptor of Fears","ce79bbd2-edf0-4d5e-9aaf-717ec3960c48","{4}{U}{B}","Legendary Planeswalker — Ashiok","BU","normal","deferred","noncreature-needs-explicit-semantics",""
"Ashiok, Wicked Manipulator","67d66678-a8e6-4f80-bade-1f1daf4b0610","{3}{B}{B}","Legendary Planeswalker — Ashiok","B","normal","deferred","noncreature-needs-explicit-semantics",""
"Ashling the Pilgrim","bc92f0ba-2cf0-453c-a0d3-98a8784fe55b","{1}{R}","Legendary Creature — Elemental Shaman","R","normal","deferred","oracle-needs-explicit-semantics",""
"Ashling's Prerogative","b68bc097-482a-4fe5-9fca-df5941f3dc5c","{1}{R}","Enchantment","R","normal","deferred","noncreature-needs-explicit-semantics",""
"Ashling, Flame Dancer","6fe9fd59-9cac-4572-8f94-bc19bea44f94","{2}{R}{R}","Legendary Creature — Elemental Shaman","R","normal","deferred","oracle-needs-explicit-semantics",""
"Ashling, Rekindled // Ashling, Rimebound","31fc5d8b-94bc-4688-8a84-f15800e717a8","","Legendary Creature — Elemental Sorcerer // Legendary Creature — Elemental Wizard","RU","transform","deferred","double-faced-card-needs-complete-front-semantics",""
"Ashling, the Extinguisher","e89e102f-e3bc-4c16-bb27-09db83cec5ec","{2}{B}{B}","Legendary Creature — Elemental Shaman","B","normal","deferred","oracle-needs-explicit-semantics",""
"Ashnod's Battle Gear","b5a390fd-2864-4481-84b4-41e8fac91a80","{2}","Artifact","","normal","deferred","noncreature-needs-explicit-semantics",""
"Ashnod's Intervention","c1a7d108-8073-42a5-ade0-a0643d078268","{B}","Instant","B","normal","deferred","spell-needs-explicit-semantics",""
"Ashnod, Flesh Mechanist","7dfae95e-f67e-49e3-b68a-40ea7e5099dd","{B}","Legendary Creature — Human Artificer","B","normal","deferred","oracle-needs-explicit-semantics",""
"Asmira, Holy Avenger","a0397f06-d557-4c9f-af89-238ab38ada3e","{2}{G}{W}","Legendary Creature — Human Cleric","GW","normal","deferred","oracle-needs-explicit-semantics",""
"Asmodeus the Archfiend","1e4032f6-9741-4845-9325-781c9e489172","{4}{B}{B}","Legendary Creature — Devil God","B","normal","deferred","oracle-needs-explicit-semantics",""
"Asmoranomardicadaistinaculdacar","1f74e26f-5cf3-4b0e-bcc6-f858599474fc","","Legendary Creature — Human Wizard","BR","normal","deferred","oracle-needs-explicit-semantics",""
"Aspect of Wolf","77b7277d-90a1-4774-a998-8c35c3f94e4a","{1}{G}","Enchantment — Aura","G","normal","deferred","noncreature-needs-explicit-semantics",""
"Aspirant's Ascent","ed9c488a-9d44-4d2d-bcf8-81352193b8c2","{U}","Instant","U","normal","deferred","spell-needs-explicit-semantics",""
"Aspiring Champion","d343c116-b33a-4ed6-ad15-d7270e739b04","{3}{R}","Creature — Astartes Warrior","R","normal","deferred","library-selected-reference-needs-binding",""
"Assassin's Blade","76da2150-34b9-4483-99df-131e1c5468d5","{1}{B}","Instant","B","normal","deferred","spell-needs-explicit-semantics",""
"Assault Intercessor","3ba19659-461f-482c-b882-b4fca7d5d1f8","{1}{W}{B}","Creature — Astartes Warrior","BW","normal","deferred","unbound-event-reference",""
"Assault Suit","c3b6e114-7bc8-4890-97d9-edbeea1f425f","{4}","Artifact — Equipment","","normal","deferred","noncreature-needs-explicit-semantics",""
"Assault on Osgiliath","d2aa50d2-d22d-495e-afc9-23a51c8c8f32","{X}{R}{R}{R}","Sorcery","R","normal","deferred","spell-needs-explicit-semantics",""
"Assaultron Dominator","2c7818f4-a818-4603-9af1-05aee2d56ec8","{1}{R}","Artifact Creature — Robot","R","normal","deferred","oracle-needs-explicit-semantics",""
"Assemble the Entmoot","1f1ad44c-1811-40e3-976b-03f19866abd5","{3}{G}","Enchantment","G","normal","deferred","noncreature-needs-explicit-semantics",""
"Assemble the Players","180ba940-2b11-4953-b7ce-74847e1aebfd","{1}{W}","Enchantment","W","normal","deferred","noncreature-needs-explicit-semantics",""
"Assimilate Essence","a24d3d60-2bd7-40cb-8002-b092943f61fe","{1}{U}","Instant","U","normal","deferred","spell-needs-explicit-semantics",""
"Assimilation Aegis","6d39d218-254a-4886-907a-89df605d7ce4","{1}{W}{U}","Artifact — Equipment","UW","normal","deferred","noncreature-needs-explicit-semantics",""
"Astarion's Thirst","0236ad13-d8e4-49b4-b397-fe2f6136665d","{3}{B}","Instant","B","normal","deferred","spell-needs-explicit-semantics",""
"Astarion, the Decadent","03048844-32bb-45a2-a754-73f75eaa4566","{4}{W}{B}","Legendary Creature — Vampire Elf Rogue","BW","normal","deferred","oracle-needs-explicit-semantics",""
"Astelli Reclaimer","bb956492-e3ed-483a-9169-5b795a8e619e","{3}{W}{W}","Creature — Angel Warrior","W","normal","deferred","oracle-needs-explicit-semantics",""
"Astor, Bearer of Blades","196962f0-6aff-4198-9e0c-eaf42aeaf147","{2}{R}{W}","Legendary Creature — Human Warrior","RW","normal","deferred","oracle-needs-explicit-semantics",""
"Astral Confrontation","80788ac7-19d6-42d2-9f6e-676d7b5c912e","{4}{W}","Instant","W","normal","deferred","spell-needs-explicit-semantics",""
"Astral Drift","7aa5db50-5057-45fd-bce9-fb4a5e874263","{2}{W}","Enchantment","W","normal","deferred","noncreature-needs-explicit-semantics",""
"Asylum Visitor","870deab4-8570-40e9-aeda-ac3726cebb84","{1}{B}","Creature — Vampire Wizard","B","normal","deferred","oracle-needs-explicit-semantics",""
"Atalya, Samite Master","84587724-af96-4396-a0b3-1133d492d915","{3}{W}{W}","Legendary Creature — Human Cleric","W","normal","deferred","oracle-needs-explicit-semantics",""
"Atarka's Command","1943cbb0-2b12-4450-90af-060b8c8627c3","{R}{G}","Instant","GR","normal","deferred","spell-needs-explicit-semantics",""
"Atemsis, All-Seeing","f557aa26-8b79-4116-9249-a067b21b88ef","{3}{U}{U}{U}","Legendary Creature — Sphinx","U","normal","deferred","oracle-needs-explicit-semantics",""
"Athreos, God of Passage","af206aed-1f58-4f5a-ba42-0e0d1f282940","{1}{W}{B}","Legendary Enchantment Creature — God","BW","normal","deferred","oracle-needs-explicit-semantics",""
"Athreos, Shroud-Veiled","9aacc1ce-8d0d-4a24-9a15-74635f2f127d","{4}{W}{B}","Legendary Enchantment Creature — God","BW","normal","deferred","oracle-needs-explicit-semantics",""
"Atlantis Attacks","b5c8e24a-f4d7-42dc-8117-905ad0bad888","{5}{U}{U}","Sorcery","U","normal","deferred","spell-needs-explicit-semantics",""
"Atmospheric Greenhouse","52c6afc6-aff1-46a8-b1ea-b183facec1ae","{4}{G}","Artifact — Spacecraft","G","normal","deferred","noncreature-needs-explicit-semantics",""
"Atomic Microsizer","048c3b0b-48ef-42f5-a2af-90aa1d133296","{U}","Artifact — Equipment","U","normal","deferred","noncreature-needs-explicit-semantics",""
"Atomwheel Acrobats","0e9551ef-8aee-46ed-b21f-162c64213437","{3}{G}","Creature — Elf Performer","G","normal","deferred","oracle-needs-explicit-semantics",""
"Atraxa's Fall","22677153-bd87-4ff8-af92-ced4da2aac6c","{1}{G}","Sorcery","G","normal","deferred","spell-needs-explicit-semantics",""
"Atraxa's Skitterfang","8255b408-cc8c-453f-982c-f361b5559cec","{3}","Artifact Creature — Phyrexian Insect","","normal","deferred","oracle-needs-explicit-semantics",""
"Atraxa, Grand Unifier","abbcb153-0763-44c6-964f-b4ff0eb64257","{3}{G}{W}{U}{B}","Legendary Creature — Phyrexian Angel","BGUW","normal","deferred","oracle-needs-explicit-semantics",""
"Atreus, Impulsive Son","f6a4298c-3d9d-43e1-b32c-b168c02ad503","{1}{U}{R}","Legendary Creature — God Archer","RU","normal","deferred","oracle-needs-explicit-semantics",""
"Atris, Oracle of Half-Truths","8b2b00ab-f1c5-4057-9957-d7daac95a847","{2}{U}{B}","Legendary Creature — Human Advisor","BU","normal","deferred","oracle-needs-explicit-semantics",""
"Attempted Murder","89e90361-822f-42b6-9ed9-d94e6d24fb95","{X}{B}{B}","Sorcery","B","normal","deferred","spell-needs-explicit-semantics",""
"Attentive Skywarden","896213bb-28a0-45a4-abbd-35af51f1d9aa","{2}{W}","Creature — Phyrexian Kor","W","normal","deferred","oracle-needs-explicit-semantics",""
"Atzocan Archer","aed10a6c-ef93-46a7-a5d7-c9cd2a4fd91a","{2}{G}","Creature — Human Archer","G","normal","deferred","oracle-needs-explicit-semantics",""
"Audacious Reshapers","525c0e33-f073-4bed-be8a-14e436a0bcf1","{2}{R}","Creature — Human Artificer","R","normal","deferred","oracle-needs-explicit-semantics",""
"Audacious Swap","40b0b93d-4075-42d6-bcd8-b2f9910cc7d2","{3}{R}","Instant","R","normal","deferred","spell-needs-explicit-semantics",""
"Audience with Trostani","cbbb5c0c-e953-410d-88c6-8fedb719e94c","{2}{G}","Sorcery","G","normal","deferred","spell-needs-explicit-semantics",""
"Auditore Ambush","72075231-e3b3-46cc-b994-2d95b24cf904","{2}{U}{B}","Sorcery","BU","normal","deferred","spell-needs-explicit-semantics",""
"Augmenter Pugilist // Echoing Equation","9110339d-72ba-4132-801f-cd2fd738b71d","","Creature — Troll Druid // Sorcery","GU","modal_dfc","deferred","double-faced-card-needs-complete-back-semantics",""
"Augusta, Order Returned","a80a1f84-ea49-4c8d-912d-c7036b814a6c","{2}{W}","Legendary Creature — Spirit Advisor","W","normal","deferred","oracle-needs-explicit-semantics",""
"Auntie's Hovel","245469ff-72b6-4846-8a82-a1d29f4d09bb","","Land","BR","normal","deferred","land-needs-explicit-semantics",""
"Auntie's Snitch","d2964a68-36d9-4b05-8f34-540969b410bf","{2}{B}","Creature — Goblin Rogue","B","normal","deferred","oracle-needs-explicit-semantics",""
"Aura Barbs","1aa8fdc3-efeb-450d-9540-2ef0efaf270d","{2}{R}","Instant — Arcane","R","normal","deferred","spell-needs-explicit-semantics",""
"Aura Finesse","445c46d1-b571-4fe9-92cc-2873242d748f","{U}","Instant","U","normal","deferred","spell-needs-explicit-semantics",""
"Aura Graft","00317e4f-0228-469a-9789-fb6c39976860","{1}{U}","Instant","U","normal","deferred","spell-needs-explicit-semantics",""
"Aura Mutation","19bb51dd-2b93-45f0-927d-bbafddadd0a3","{G}{W}","Instant","GW","normal","deferred","spell-needs-explicit-semantics",""
"Aura Thief","cf0936ea-2741-43a4-ad6a-a1258b54945b","{3}{U}","Creature — Illusion","U","normal","deferred","oracle-needs-explicit-semantics",""
"Auratouched Mage","3c7ffc6c-88be-4127-a673-fba8c1aa5fa1","{5}{W}","Creature — Human Wizard","W","normal","deferred","oracle-needs-explicit-semantics",""
"Aurelia's Fury","ceaa0e02-2dec-412d-86aa-c1129fd0fb08","{X}{R}{W}","Instant","RW","normal","deferred","spell-needs-explicit-semantics",""
"Aurelia's Vindicator","4f452ce7-1166-4810-afed-ea5e156a6f52","{2}{W}{W}","Creature — Angel","W","normal","deferred","oracle-needs-explicit-semantics",""
"Aurelia, Exemplar of Justice","2e1e0385-1537-4cb6-9d24-e4593d9a8f4a","{2}{R}{W}","Legendary Creature — Angel","RW","normal","deferred","oracle-needs-explicit-semantics",""
"Aurelia, the Law Above","2a800427-ff8c-4b3c-baee-85211b70656d","{3}{R}{W}","Legendary Creature — Angel","RW","normal","deferred","oracle-needs-explicit-semantics",""
"Aurification","3d98a656-1737-486f-9b25-449b7c871d1f","{2}{W}{W}","Enchantment","W","normal","deferred","noncreature-needs-explicit-semantics",""
"Auriok Siege Sled","6a1a9e8a-a323-489a-b4db-b04da76662f4","{6}","Artifact Creature — Juggernaut","","normal","deferred","oracle-needs-explicit-semantics",""
"Auriok Steelshaper","e3ee8b0e-9bdc-4b9a-b4f9-59189dd6a80d","{1}{W}","Creature — Human Soldier","W","normal","deferred","oracle-needs-explicit-semantics",""
"Auriok Survivors","103b92c7-8f8e-4924-8d7e-fc0a01486e86","{5}{W}","Creature — Human Soldier","W","normal","deferred","oracle-needs-explicit-semantics",""
"Auriok Windwalker","f8a06210-de30-4e87-835e-80a6df5716ca","{3}{W}","Creature — Human Wizard","W","normal","deferred","oracle-needs-explicit-semantics",""
"Auron, Venerated Guardian","5e166b42-252e-4f34-9610-dcddc04a62ff","{3}{W}","Legendary Creature — Human Spirit Samurai","W","normal","deferred","oracle-needs-explicit-semantics",""
"Aurora Awakener","cf9d13e2-bdcc-4c66-95ad-654ef795dbd3","{6}{G}","Creature — Giant Druid","G","normal","deferred","oracle-needs-explicit-semantics",""
"Aurora Champion","a4499cf9-04a0-45c5-9c73-19f8e7e95da6","{2}{W}","Creature — Elf Warrior","W","normal","deferred","oracle-needs-explicit-semantics",""
"Aurora Phoenix","a98cc4d0-a322-4142-aee0-83f39b137616","{4}{R}{R}","Creature — Phoenix","R","normal","deferred","oracle-needs-explicit-semantics",""
"Aurora Shifter","d499e473-aed8-4c8b-8cf0-a43bcc5f40cf","{1}{U}","Creature — Shapeshifter","U","normal","deferred","unbound-event-amount",""
"Auspicious Starrix","8432df19-dbf4-457b-8c0b-1f4b3a0a37d2","{4}{G}","Creature — Elk Beast","G","mutate","deferred","complex-layout",""
"Autarch Mammoth","eb50b5f2-4840-4f90-9c85-40fc581be9c7","{4}{G}{G}","Creature — Elephant Mount","G","normal","deferred","oracle-needs-explicit-semantics",""
"Author of Shadows","8bad4e43-4375-4e7f-897e-d28be72308d7","{4}{B}","Creature — Shade Warlock","B","normal","deferred","oracle-needs-explicit-semantics",""
"Automated Artificer","600e1093-5619-49b3-b193-bd263e4fde33","{2}","Artifact Creature — Artificer","","normal","deferred","oracle-needs-explicit-semantics",""
"Autonomous Assembler","3afdc98e-aeeb-43e9-bdcd-0c51da44d2f8","{5}","Artifact Creature — Assembly-Worker","W","prototype","deferred","complex-layout",""
"Autumn's Veil","03f5946b-e000-4b39-a49f-1c31668b51bd","{G}","Instant","G","normal","deferred","spell-needs-explicit-semantics",""
"Auxiliary Boosters","ffa3b20b-d77b-43d5-86ac-6a591df1877f","{4}{W}","Artifact — Equipment","W","normal","deferred","noncreature-needs-explicit-semantics",""
"Avabruck Caretaker // Hollowhenge Huntmaster","730be0d6-2612-44d6-9d36-e1fc6510c6bd","","Creature — Human Werewolf // Creature — Werewolf","G","transform","deferred","double-faced-card-needs-face-transition-semantics",""
"Avacyn's Judgment","f3ae58ed-8ef7-4e0a-945f-1f622157236b","{1}{R}","Sorcery","R","normal","deferred","spell-needs-explicit-semantics",""
"Avacyn, Guardian Angel","6da0b6d2-3c5e-49ef-9264-076269c04744","{2}{W}{W}{W}","Legendary Creature — Angel","W","normal","deferred","oracle-needs-explicit-semantics",""
"Avacynian Missionaries // Lunarch Inquisitors","5b356a01-900c-4fe5-93bd-45629528c484","","Creature — Human Cleric // Creature — Human Cleric","W","transform","deferred","double-faced-card-needs-complete-front-semantics",""
"Avalanche Tusker","ccad8b03-5ff1-4895-94e0-0c96883cb875","{2}{G}{U}{R}","Creature — Elephant Warrior","GRU","normal","deferred","oracle-needs-explicit-semantics",""
"Avarice Amulet","4c71074b-b8bf-47f4-87e4-67c275abdbc5","{4}","Artifact — Equipment","","normal","deferred","noncreature-needs-explicit-semantics",""
"Avarice Totem","c4698dcc-baa0-44c5-a283-22f9dfe150f5","{1}","Artifact","","normal","deferred","noncreature-needs-explicit-semantics",""
"Avatar Aang // Aang, Master of Elements","b4872bac-5822-4c35-9b73-38c4e3ffa477","","Legendary Creature — Human Avatar Ally // Legendary Creature — Avatar Ally","BGRUW","transform","deferred","double-faced-card-needs-complete-front-semantics",""
"Avatar Destiny","ecb81888-589b-4486-a444-e0c26384854e","{2}{G}{G}","Enchantment — Aura","G","normal","deferred","noncreature-needs-explicit-semantics",""
"Avatar Kyoshi, Earthbender","fd751ed4-4002-4cae-9d1d-1fe0f1fd4965","{5}{G}{G}{G}","Legendary Creature — Human Avatar","G","normal","deferred","oracle-needs-explicit-semantics",""
"Avatar Roku, Firebender","9eb9e4c1-fabf-45ff-a584-fbe4b94fb41c","{3}{R}{R}{R}","Legendary Creature — Human Avatar","R","normal","deferred","oracle-needs-explicit-semantics",""
"Avatar of Growth","07db0374-3297-49c3-886d-a6bb42f7bb18","{4}{G}{G}","Creature — Elemental Avatar","G","normal","deferred","oracle-needs-explicit-semantics",""
"Avatar of Might","68d84ffa-5bd0-4ed9-a987-6cef13095438","{6}{G}{G}","Creature — Avatar","G","normal","deferred","oracle-needs-explicit-semantics",""
"Avatar of Slaughter","2fc6305e-e75e-478a-826b-49f655ed832c","{6}{R}{R}","Creature — Avatar","R","normal","deferred","oracle-needs-explicit-semantics",""
"Avatar of Woe","2da5aa33-3794-4f83-936c-9d8640833d86","{6}{B}{B}","Creature — Avatar","B","normal","deferred","oracle-needs-explicit-semantics",""
"Avatar's Wrath","e3431dae-969c-4896-9f9e-a80e7bec4bdf","{2}{W}{W}","Sorcery","W","normal","deferred","spell-needs-explicit-semantics",""
